   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 290,         20929,           20644,           6010,      3753,         747,        563,         41905,             282,           3001,     3841,       2110,       578
 291,         21152,           20866,           6252,      3638,         761,        570,         42195,             286,           3090,     3848,       2114,       681
 292,         21410,           21123,           6040,      3526,         780,        627,         42486,             287,           3477,     3873,       2141,       575
 293,         21682,           21394,           6303,      3625,         775,        563,         42778,             286,           2977,     3898,       2140,       617
 294,         21843,           21554,           6195,      3282,         793,        524,         43071,             290,           3005,     3901,       2140,       571
 295,         21889,           21599,           5862,      3413,         778,        540,         43365,             291,           2876,     3918,       2153,       570
 296,         22050,           21759,           5893,      3422,         789,        531,         43660,             287,           2933,     3933,       2173,       581
 297,         22113,           21821,           5913,      3566,         791,        538,         43956,             287,           2940,     3941,       2167,       576
 298,         22281,           21988,           5997,      3324,         798,        519,         44253,             294,           2959,     3965,       2182,       583
 299,         22519,           22225,           6025,      3766,         780,        560,         44551,             291,           2993,     3985,       2199,       586
 300,         22660,           22365,           6354,      3758,         770,        560,         44850,             299,           3126,     4007,       2207,       588
 301,         22837,           22541,           6102,      3511,         798,        540,         45150,             297,           3034,     4027,       2221,       593
 302,         23000,           22703,           6202,      3452,         824,        539,         45451,             297,           3038,     4038,       2229,       600
 303,         23234,           22936,           6288,      3488,         802,        544,         45753,             298,           3112,     4063,       2236,       593
 304,         23500,           23201,           6352,      3574,         819,        590,         46056,             295,           3106,     4083,       2249,       599
 305,         23716,           23416,           6425,      3580,         820,        559,         46360,             300,           3155,     4082,       2242,       607
 306,         23835,           23534,           6433,      3432,         841,        549,         46665,             302,           3165,     4126,       2272,       606
 307,         23868,           23566,           6488,      3902,         807,        584,         46971,             304,           3180,     4135,       2272,       608
 308,         23956,           23653,           6560,      3504,         824,        554,         47278,             299,           3189,     4156,       2283,       609
 309,         24159,           23855,           6533,      3468,         826,        546,         47586,             303,           3229,     4170,       2277,       621
